,Years,Data,size,articles
295,2014-12,1956,1,Artificial intelligence: Hawking's fears stir debate
296,2014-12,1997,1,'Fibonacci quasiparticle' could form basis of future quantum computers
297,2014-12,1999,1,World-first 'bionic bra' inches closer to reality
298,2014-12,2004,1,Internet giants wage war on pop-up ad blockers
299,2014-12,2007,1,Lead islands in a sea of graphene magnetize the material of the future
300,2014-12,2011,1,Helicopter steering innovation could herald new era for aerial transport
301,2014-12,2012,2,Amazon's new robot army is ready to ship<br>Researchers discover new class of stem cells
302,2014-12,2013,6,"Amazon's new robot army is ready to ship<br>Superconductivity without cooling<br>World record for compact 'tabletop' particle accelerator<br>Drone revolution hovers on the horizon<br>Researchers combine logic, memory to build a 'high-rise' chip<br>Ten of the biggest science and technology stories of 2014 on Phys.org"
303,2014-12,2014,16,"Amazon's new robot army is ready to ship<br>Hawking warns AI 'could spell end of human race'<br>World-first 'bionic bra' inches closer to reality<br>Internet giants wage war on pop-up ad blockers<br>Chemists create 'artificial chemical evolution' for the first time<br>Contact lens merges plastics and active electronics via 3-D printing<br>Defects are perfect in laser-induced graphene<br>Drone revolution hovers on the horizon<br>Researchers discover new class of stem cells<br>Researchers combine logic, memory to build a 'high-rise' chip<br>Researchers invent smart window that tints and powers itself<br>Newest computer neural networks can identify visual objects as well as the primate brain<br>Driverless public transport will change our approach to city planning – and living<br>Electronic gadget for shaking hands over the Internet<br>Intelligent façades generating electricity, heat and algae biomass<br>Ten of the biggest science and technology stories of 2014 on Phys.org"
304,2014-12,2015,6,Hawking warns AI 'could spell end of human race'<br>Milestones in human-machine cooperation<br>Tidal turbine success signals buoyant future for marine-based energy<br>Drone revolution hovers on the horizon<br>Morocco raises 1.7 bn euros for solar plants<br>Driverless public transport will change our approach to city planning – and living
305,2014-12,2016,1,Thermoelectric power plants could offer economically competitive renewable energy
306,2014-12,2018,2,Drone revolution hovers on the horizon<br>Engineering students aim to generate first breathable air on Mars
307,2014-12,2020,1,"Intelligent façades generating electricity, heat and algae biomass"
308,2014-12,2025,1,Engineering students aim to generate first breathable air on Mars
309,2015-01,1915,1,Atoms can be in two places at the same time
310,2015-01,1920,1,"The future is bright, the future is quantum dot televisions"
311,2015-01,1945,1,Did the Anthropocene begin with the nuclear age?
312,2015-01,1985,1,High-temperature superconductor 'fingerprint' found
313,2015-01,1990,1,"In next 15 years, Gates Foundation sees big jump for poor"
314,2015-01,1995,1,Swiss bank on safe haven label to become world's data vault
315,2015-01,1996,1,How would the world change if we found extraterrestrial life?
316,2015-01,2000,1,Did the Anthropocene begin with the nuclear age?
317,2015-01,2001,1,Cuban youth build secret computer network despite Wi-Fi ban
318,2015-01,2006,1,DNA origami could lead to nano 'transformers' for biomedical applications
319,2015-01,2009,3,How 3-D printing could revolutionize war and foreign policy<br>Perovskites provide big boost to silicon solar cells<br>Swiss bank on safe haven label to become world's data vault
320,2015-01,2011,1,Engineering discovery brings invisibility closer to reality
321,2015-01,2012,1,Google expects public in driverless cars in two to five years
322,2015-01,2013,4,"Computers using digital footprints are better judge of personality than friends and family<br>The tools needed to seek out new worlds in space<br>Huge 3D displays without 3D glasses<br>After Kepler, what is next for the planet hunters?"
323,2015-01,2014,10,"Electronics show a window into the 'Internet of Me'<br>How 3-D printing could revolutionize war and foreign policy<br>NASA robot plunges into volcano to explore fissure<br>The tools needed to seek out new worlds in space<br>Laser-induced graphene 'super' for electronics<br>Google expects public in driverless cars in two to five years<br>Did the Anthropocene begin with the nuclear age?<br>In next 15 years, Gates Foundation sees big jump for poor<br>Engineering discovery brings invisibility closer to reality<br>Cuban youth build secret computer network despite Wi-Fi ban"
324,2015-01,2015,24,"Electronics show a window into the 'Internet of Me'<br>How 3-D printing could revolutionize war and foreign policy<br>Super-Earths have long-lasting oceans<br>Job survival in the age of robots and intelligent machines<br>The future is bright, the future is quantum dot televisions<br>Eight new planets found in 'Goldilocks' zone<br>Wind-powered freighters<br>Car of the future emerges at Las Vegas electronics show<br>DNA origami could lead to nano 'transformers' for biomedical applications<br>NASA robot plunges into volcano to explore fissure<br>Six-legged 'snake monster' is first of new breed of reconfigurable modular robots (w/ Video)<br>Laser-induced graphene 'super' for electronics<br>Google expects public in driverless cars in two to five years<br>Did the Anthropocene begin with the nuclear age?<br>Huge 3D displays without 3D glasses<br>Perovskites provide big boost to silicon solar cells<br>Japan researchers target 3D-printed body parts<br>Laser-generated surface structures create extremely water-repellent metals<br>In next 15 years, Gates Foundation sees big jump for poor<br>Privacy is dead, Davos hears<br>Entanglement on a chip: Breakthrough promises secure communications and faster computers<br>Swiss bank on safe haven label to become world's data vault<br>How would the world change if we found extraterrestrial life?<br>Crystal light: New light-converting materials point to cheaper, more efficient solar power"
325,2015-01,2016,1,How would the world change if we found extraterrestrial life?
326,2015-01,2017,3,"Car of the future emerges at Las Vegas electronics show<br>Dubai launches 200-Megawatt solar plant project<br>After Kepler, what is next for the planet hunters?"
327,2015-01,2018,1,"In next 15 years, Gates Foundation sees big jump for poor"
328,2015-01,2020,2,"The future is bright, the future is quantum dot televisions<br>Wind-powered freighters"
329,2015-01,2030,1,Dubai launches 200-Megawatt solar plant project
330,2015-02,1515,1,Should we call the cosmos seeking ET? Or is that risky?
331,2015-02,1821,1,Antarctica: Mystery continent holds key to mankind's future
332,2015-02,1865,1,Tomorrow's technology will lead to sweeping changes in society
333,2015-02,1901,1,"With HoloLens, the future of reality is augmented"
334,2015-02,1928,1,Third time unlucky for 3-D television – so what went wrong this time?
335,2015-02,1939,1,"With HoloLens, the future of reality is augmented"
336,2015-02,1945,1,Third time unlucky for 3-D television – so what went wrong this time?
337,2015-02,1950,1,Strings attached to future high temperature superconductivity
338,2015-02,1972,1,Strings attached to future high temperature superconductivity
339,2015-02,1975,2,Mining the moon becomes a serious prospect<br>Should we call the cosmos seeking ET? Or is that risky?
340,2015-02,1986,1,Strings attached to future high temperature superconductivity
341,2015-02,1988,1,Antarctica: Mystery continent holds key to mankind's future
342,2015-02,1995,1,Antarctica: Mystery continent holds key to mankind's future
343,2015-02,1997,1,Strings attached to future high temperature superconductivity
344,2015-02,1999,2,Alibaba deploys drones to deliver tea in China<br>Volvo says self-driving cars will react 'faster than most humans'
345,2015-02,2003,1,Japan-inspired 'water-house' slashes energy needs
346,2015-02,2005,3,Robots replacing human factory workers at faster pace<br>Antarctica: Mystery continent holds key to mankind's future<br>The Curiosity robot confirms methane in Mars' atmosphere which may hint that existed life
347,2015-02,2006,1,Why a hydrogen economy doesn't make sense
348,2015-02,2007,1,Strings attached to future high temperature superconductivity
349,2015-02,2008,1,Should we call the cosmos seeking ET? Or is that risky?
350,2015-02,2009,2,Third time unlucky for 3-D television – so what went wrong this time?<br>Engineering a robot that assists in direct nursing care
351,2015-02,2010,3,Breakthrough may lead to industrial production of graphene devices<br>Third time unlucky for 3-D television – so what went wrong this time?<br>Volvo says self-driving cars will react 'faster than most humans'
352,2015-02,2011,4,Japan-inspired 'water-house' slashes energy needs<br>Capturing and storing carbon in soil: Is it real and can it scale?<br>Third time unlucky for 3-D television – so what went wrong this time?<br>Engineering a robot that assists in direct nursing care
353,2015-02,2012,2,Breakthrough may lead to industrial production of graphene devices<br>Third time unlucky for 3-D television – so what went wrong this time?
354,2015-02,2013,6,Mining the moon becomes a serious prospect<br>The future of holographic video<br>HAPTIX starts work to provide prosthetic hands with sense of touch<br>China wind power capacity jumps to record high<br>Possible discovery in 2015 of a new particle in physics<br>Third time unlucky for 3-D television – so what went wrong this time?
355,2015-02,2014,9,Team finds hydrogen production in extreme bacterium<br>Alibaba deploys drones to deliver tea in China<br>Navy unveils firefighting robot prototype at tech expo (w/ Video)<br>Planets orbiting red dwarfs may stay wet enough for life<br>Robots replacing human factory workers at faster pace<br>China wind power capacity jumps to record high<br>Possible discovery in 2015 of a new particle in physics<br>Third time unlucky for 3-D television – so what went wrong this time?<br>Antarctica: Mystery continent holds key to mankind's future
356,2015-02,2015,18,"Mining the moon becomes a serious prospect<br>Triage wristbands provide faster first aid for catastrophe victims<br>Alibaba deploys drones to deliver tea in China<br>High efficiency concentrating solar cells move to the rooftop (w/ Video)<br>With HoloLens, the future of reality is augmented<br>HAPTIX starts work to provide prosthetic hands with sense of touch<br>Planets orbiting red dwarfs may stay wet enough for life<br>Japan-inspired 'water-house' slashes energy needs<br>Apple building big solar energy project in California<br>Tomorrow's technology will lead to sweeping changes in society<br>Strings attached to future high temperature superconductivity<br>China wind power capacity jumps to record high<br>Should we call the cosmos seeking ET? Or is that risky?<br>Report: Apple has hundreds working on electric car project (Update)<br>Possible discovery in 2015 of a new particle in physics<br>Third time unlucky for 3-D television – so what went wrong this time?<br>Antarctica: Mystery continent holds key to mankind's future<br>The Curiosity robot confirms methane in Mars' atmosphere which may hint that existed life"
357,2015-02,2016,1,Apple building big solar energy project in California
358,2015-02,2017,2,Report: Apple has hundreds working on electric car project (Update)<br>Volvo says self-driving cars will react 'faster than most humans'
359,2015-02,2025,1,Robots replacing human factory workers at faster pace
360,2015-02,2030,2,China wind power capacity jumps to record high<br>Third time unlucky for 3-D television – so what went wrong this time?
361,2015-02,3915,1,Tomorrow's technology will lead to sweeping changes in society
362,2015-03,1000,3,New generation of mobile networks for the 5G Internet of the future<br>Buckybomb shows potential power of nanoscale explosives<br>Graphene applications in mobile communication
363,2015-03,1021,1,Quantum computers could greatly accelerate machine learning
364,2015-03,1200,1,Buckybomb shows potential power of nanoscale explosives
365,2015-03,1915,1,Gravity-resisting gene stops our bodies being squashed flat
366,2015-03,1916,2,Fascist sperm busts DNA frontier<br>Scientists develop cool process to make better graphene
367,2015-03,1919,1,Fascist sperm busts DNA frontier
368,2015-03,1995,1,Study into two-dimensional materials shows great potential for battery life-span improvement
369,2015-03,2001,1,Russia to resume space tourism in 2018
370,2015-03,2002,1,The corrugated galaxy: Milky Way may be much larger than previously estimated
371,2015-03,2004,1,'Atomic chicken-wire' is key to faster DNA sequencing
372,2015-03,2005,1,Scientists find rare dwarf satellite galaxy candidates in Dark Energy Survey data
373,2015-03,2006,1,Scientists find rare dwarf satellite galaxy candidates in Dark Energy Survey data
374,2015-03,2007,1,Soon smartwatches will listen to your body to work out how you're feeling
375,2015-03,2009,3,Japan space scientists make wireless energy breakthrough<br>A better method for making perovskite solar cells<br>Russia to resume space tourism in 2018
376,2015-03,2011,3,Japan space scientists make wireless energy breakthrough<br>Study into two-dimensional materials shows great potential for battery life-span improvement<br>Russia to resume space tourism in 2018
377,2015-03,2012,3,Scientists develop cool process to make better graphene<br>Researchers greatly increase precision of new genome editing tool<br>Carbon nanotube fibers make superior links to brain
378,2015-03,2013,1,Soon smartwatches will listen to your body to work out how you're feeling
379,2015-03,2014,6,New generation of mobile networks for the 5G Internet of the future<br>'Habitable' planet GJ 581d previously dismissed as noise probably does exist<br>Students launch desktop recycler that turns pop bottles into 3D printer plastic<br>A better method for making perovskite solar cells<br>SolarCity launches community microgrids with Tesla batteries<br>3-D print technology provides 'robohand' to 7-year-old girl (Update)
380,2015-03,2015,23,"Breakthrough in OLED technology<br>New generation of mobile networks for the 5G Internet of the future<br>Kids and robots learn to write together (w/ Video)<br>Scientists find rare dwarf satellite galaxy candidates in Dark Energy Survey data<br>The corrugated galaxy: Milky Way may be much larger than previously estimated<br>Soon smartwatches will listen to your body to work out how you're feeling<br>Engineers create chameleon-like artificial 'skin' that shifts color on demand<br>3-D printer for small molecules opens access to customized chemistry<br>Fascist sperm busts DNA frontier<br>Yahoo sees 'end to end' email encryption by year-end<br>Researchers develop revolutionary 3D printing technology<br>Study into two-dimensional materials shows great potential for battery life-span improvement<br>Scientists develop cool process to make better graphene<br>Scientists invent new way to control light, critical for next gen of super fast computing<br>The world's largest distributed computer grid crunches LHC's huge numbers<br>New processing technology converts packing peanuts to battery components<br>Sewage could be a source of valuable metals and critical elements<br>Graphene applications in mobile communication<br>Russia to resume space tourism in 2018<br>Brain tumor cells decimated by mitochondrial 'smart bomb'<br>Carbon nanotube fibers make superior links to brain<br>Quantum computers could greatly accelerate machine learning<br>Study demonstrates desalination with nanoporous graphene membrane"
381,2015-03,2016,3,Scientists find rare dwarf satellite galaxy candidates in Dark Energy Survey data<br>Fascist sperm busts DNA frontier<br>Brain tumor cells decimated by mitochondrial 'smart bomb'
382,2015-03,2017,2,Massive hydroelectric lagoon planned off Wales<br>Brain tumor cells decimated by mitochondrial 'smart bomb'
383,2015-03,2018,2,Soon smartwatches will listen to your body to work out how you're feeling<br>Russia to resume space tourism in 2018
384,2015-03,2020,2,New generation of mobile networks for the 5G Internet of the future<br>Quantum computers could greatly accelerate machine learning
385,2015-04,1015,1,Dutch saltwater potatoes offer hope for world's hungry
386,2015-04,1415,1,"High performance, lightweight supercapacitor electrodes of the future"
387,2015-04,1834,1,New breakthrough in thermoelectric materials
388,2015-04,1960,1,New breakthrough in thermoelectric materials
389,2015-04,1988,1,Researchers finding applications for tough spinel ceramic
390,2015-04,2003,1,New method uses patent data to estimate a technology's future rate of improvement
391,2015-04,2005,2,Scientists develop mesh that captures oil—but lets water through<br>Dutch saltwater potatoes offer hope for world's hungry
392,2015-04,2006,1,Multi-million EU project to protect data against quantum computers
393,2015-04,2007,2,"Researchers improve efficiency of human walking (w/ video) (Update)<br>Taiwan expanding into indoor LED-lit, pesticide-free farms"
394,2015-04,2009,2,First look at 'wasabi receptor' brings insights for pain drug development<br>Most powerful space telescope ever to launch in 2018
395,2015-04,2010,1,New method uses patent data to estimate a technology's future rate of improvement
396,2015-04,2012,1,New method uses patent data to estimate a technology's future rate of improvement
397,2015-04,2013,3,First look at 'wasabi receptor' brings insights for pain drug development<br>Probabilistic programming does in 50 lines of code what used to take thousands<br>Engineer improves rechargeable batteries with MoS2 nano 'sandwich'
398,2015-04,2014,4,A robot prepared for self-awareness<br>New breakthrough in thermoelectric materials<br>Engineering team invents a camera that powers itself<br>The trillion-frame-per-second camera
399,2015-04,2015,29,"TAU researchers move Star Trek's fictional ""Tricorder"" into the real world<br>Researchers improve efficiency of human walking (w/ video) (Update)<br>Scientists create quick-charging hybrid supercapacitors<br>Taiwan expanding into indoor LED-lit, pesticide-free farms<br>Nissan pledges self-driving cars in Japan in 2016<br>High performance, lightweight supercapacitor electrodes of the future<br>Camera chip provides superfine 3-D resolution<br>Ultra-fast charging aluminum battery offers safe alternative to conventional batteries<br>Flexible armor design inspired by protective fish scales<br>First look at 'wasabi receptor' brings insights for pain drug development<br>New material set to change cooling industry<br>Probabilistic programming does in 50 lines of code what used to take thousands<br>Search for advanced civilizations beyond Earth finds nothing obvious in 100,000 galaxies<br>Lab-on-a-chip device detects cryptosporidium in as little as 10 minutes<br>Engineering team invents a camera that powers itself<br>Quantum cryptography at the speed of light: Researchers design first all-photonic repeaters<br>'Robobarista' can figure out your new coffee machine<br>Car safety system could anticipate driver's mistakes<br>New method uses patent data to estimate a technology's future rate of improvement<br>World-record electric motor for aircraft<br>Switzerland to test drone postal deliveries<br>Automating logistics for the factory of the future<br>Most powerful space telescope ever to launch in 2018<br>A leap for 'artificial leaf': Generating power by breaking up water molecules<br>Multi-million EU project to protect data against quantum computers<br>Electric solar wind sail could make bidirectional manned Mars flights economically feasible<br>Researchers finding applications for tough spinel ceramic<br>Dutch saltwater potatoes offer hope for world's hungry<br>Scientists achieve critical steps to building first practical quantum computer"
400,2015-04,2016,1,Nissan pledges self-driving cars in Japan in 2016
401,2015-04,2018,3,Nissan pledges self-driving cars in Japan in 2016<br>New material set to change cooling industry<br>Most powerful space telescope ever to launch in 2018
402,2015-04,2020,1,Nissan pledges self-driving cars in Japan in 2016
403,2015-04,2025,1,Multi-million EU project to protect data against quantum computers
404,2015-05,1000,1,Quantum computer emulated by a classical system
405,2015-05,1400,1,Semiliquid battery competitive with both Li-ion batteries and supercapacitors
406,2015-05,1859,1,How bad can solar storms get?
407,2015-05,1901,1,"Like Sleeping Beauty, some research lies dormant for decades, study finds"
408,2015-05,1915,1,"Like Sleeping Beauty, some research lies dormant for decades, study finds"
409,2015-05,1935,1,"Like Sleeping Beauty, some research lies dormant for decades, study finds"
410,2015-05,1947,1,You may be travelling less – and that's a good thing
411,2015-05,1950,1,You may be travelling less – and that's a good thing
412,2015-05,1958,1,"Like Sleeping Beauty, some research lies dormant for decades, study finds"
413,2015-05,1974,1,Researchers first to create a single-molecule diode
414,2015-05,1978,1,"Anti-poverty intervention provides sustained boost to incomes and wealth, study finds"
415,2015-05,1986,1,"World population-food supply balance is becoming increasingly unstable, study finds"
416,2015-05,1989,1,How bad can solar storms get?
417,2015-05,1994,2,"Like Sleeping Beauty, some research lies dormant for decades, study finds<br>Protocol corrects virtually all errors in quantum memory, but requires little measure of quantum states"
418,2015-05,2000,2,You may be travelling less – and that's a good thing<br>Physicists stop and store light traveling in an optical fiber
419,2015-05,2002,1,"Like Sleeping Beauty, some research lies dormant for decades, study finds"
420,2015-05,2003,1,"Anti-poverty intervention provides sustained boost to incomes and wealth, study finds"
421,2015-05,2004,1,"Like Sleeping Beauty, some research lies dormant for decades, study finds"
422,2015-05,2005,1,"Anti-poverty intervention provides sustained boost to incomes and wealth, study finds"
423,2015-05,2006,1,You may be travelling less – and that's a good thing
424,2015-05,2008,2,You may be travelling less – and that's a good thing<br>Hyperconnectivity and the future of internet communication
425,2015-05,2010,1,You may be travelling less – and that's a good thing
426,2015-05,2011,1,"World population-food supply balance is becoming increasingly unstable, study finds"
427,2015-05,2012,3,"You may be travelling less – and that's a good thing<br>When amateurs do the job of a professional, the result is smart grids secured by dumb crypto<br>Researchers develop method of fabricating perovskite solar cells that is more efficient, costs less"
428,2015-05,2013,3,"Altering genes with the aid of light<br>With one false tweet, computer-based Hack Crash led to real panic<br>Voice synthesis software delivers high-quality singing automatically"
429,2015-05,2014,6,"Bioprinting in 3D: Looks like candy, could regenerate nerve cells<br>Efficiency record for black silicon solar cells jumps to 22.1 percent<br>Researchers develop method of fabricating perovskite solar cells that is more efficient, costs less<br>How bad can solar storms get?<br>Voice synthesis software delivers high-quality singing automatically<br>Breakthrough brings optical data transport closer to replacing wires"
430,2015-05,2015,26,"Ten-engine electric plane prototype takes off<br>You may be travelling less – and that's a good thing<br>The winners and losers in Tesla's battery plan for the home<br>Toward a squishier robot: Engineers design synthetic gel that changes shape and moves via its own internal energy<br>New chip architecture may provide foundation for quantum computer<br>An alternative state of pluripotency: New stem cell may overcome hurdles for regenerative medicine<br>Report highlights enormous potential of affordable solar energy<br>Physicists stop and store light traveling in an optical fiber<br>Bioprinting in 3D: Looks like candy, could regenerate nerve cells<br>World population-food supply balance is becoming increasingly unstable, study finds<br>Scientists develop atomic-scale hardware to implement natural computing<br>CEO: Nissan will be ready with autonomous driving by 2020<br>Computing at the speed of light: Team takes big step toward much faster computers<br>Tiny grains of lithium dramatically improve performance of fusion plasma<br>New 'deep learning' technique enables robot mastery of skills via trial and error<br>Efficiency record for black silicon solar cells jumps to 22.1 percent<br>How bad can solar storms get?<br>Iris scanners can now identify us from 40 feet away<br>Hyperconnectivity and the future of internet communication<br>Like Sleeping Beauty, some research lies dormant for decades, study finds<br>Protocol corrects virtually all errors in quantum memory, but requires little measure of quantum states<br>Quantum computer emulated by a classical system<br>Breakthrough brings optical data transport closer to replacing wires<br>A super cool roof solution to being hot in the city<br>Engineers debut adhesive material based on gecko feet<br>Global climate on verge of multi-decadal change"
431,2015-05,2017,1,"Researchers develop method of fabricating perovskite solar cells that is more efficient, costs less"
432,2015-05,2020,2,Online voting a step closer thanks to breakthrough in security technology<br>CEO: Nissan will be ready with autonomous driving by 2020
433,2015-05,2025,1,Online voting a step closer thanks to breakthrough in security technology
434,2015-05,2030,1,You may be travelling less – and that's a good thing
435,2015-06,1880,1,"Using new data, US finds no pause in global warming"
436,2015-06,1990,1,FBI behind mysterious surveillance aircraft over US cities (Update)
437,2015-06,1998,1,"Using new data, US finds no pause in global warming"
438,2015-06,2002,1,Billionaires aim for cheaper spaceflight
439,2015-06,2003,1,FBI behind mysterious surveillance aircraft over US cities (Update)
440,2015-06,2007,1,FBI behind mysterious surveillance aircraft over US cities (Update)
441,2015-06,2008,2,Billionaires aim for cheaper spaceflight<br>Graphene breakthrough as Bosch creates magnetic sensor 100 times more sensitive than silicon equivalent
442,2015-06,2009,2,FBI behind mysterious surveillance aircraft over US cities (Update)<br>Google releases more details on self-driving car accidents
443,2015-06,2010,5,Strange behavior of quantum particles may indicate the existence of other parallel universes<br>Billionaires aim for cheaper spaceflight<br>Google releases more details on self-driving car accidents<br>Airbus developing reusable space rocket launcher<br>New manufacturing approach slices lithium-ion battery cost in half
444,2015-06,2011,3,FBI behind mysterious surveillance aircraft over US cities (Update)<br>Billionaires aim for cheaper spaceflight<br>Google releases more details on self-driving car accidents
445,2015-06,2012,1,Ikea invests 600 mln euros to be energy independent by 2020
446,2015-06,2013,3,"Strange behavior of quantum particles may indicate the existence of other parallel universes<br>Billionaires aim for cheaper spaceflight<br>Using new data, US finds no pause in global warming"
447,2015-06,2014,5,"Billionaires aim for cheaper spaceflight<br>Using new data, US finds no pause in global warming<br>Wearable tech 2.0 aims to alter mind, body<br>Will your self-driving car be programmed to kill you?<br>Renewable energy from evaporating water (w/ Video)"
448,2015-06,2015,18,"Bringing microgrids to rural villages<br>Distant moons may provide evidence of life beyond Earth, researchers say<br>FBI behind mysterious surveillance aircraft over US cities (Update)<br>Giant structures called plasmoids could simplify the design of future tokamaks<br>Strange behavior of quantum particles may indicate the existence of other parallel universes<br>QLEDs meet wearable devices<br>Billionaires aim for cheaper spaceflight<br>Planarian regeneration model discovered by artificial intelligence<br>Using new data, US finds no pause in global warming<br>Google releases more details on self-driving car accidents<br>Injectable electronics holds promise for basic neuroscience, treatment of neuro-degenerative diseases<br>Wearable tech 2.0 aims to alter mind, body<br>Will your self-driving car be programmed to kill you?<br>In tuning friction to the point where it disappears, technique could boost development of nanomachines<br>We can build remote-controlled rescue robots, but what's coming next is even more exciting<br>Renewable energy from evaporating water (w/ Video)<br>Future in-flight entertainment will know when you're asleep<br>World's first full-color, flexible, skin-like display developed"
449,2015-06,2016,2,"Billionaires aim for cheaper spaceflight<br>Wearable tech 2.0 aims to alter mind, body"
450,2015-06,2017,1,Will your self-driving car be programmed to kill you?
451,2015-06,2020,3,Ikea invests 600 mln euros to be energy independent by 2020<br>Fully renewable energy system is economically viable in Finland in 2050<br>New manufacturing approach slices lithium-ion battery cost in half
452,2015-06,2030,1,"Engineers develop state-by-state plan to convert US to 100% clean, renewable energy by 2050"
453,2015-06,2050,2,"Fully renewable energy system is economically viable in Finland in 2050<br>Engineers develop state-by-state plan to convert US to 100% clean, renewable energy by 2050"
454,2015-07,1929,1,"After 85-year search, massless particle with promise for next-generation electronics found"
455,2015-07,1958,1,Global roadmap for better understanding space weather released
456,2015-07,1977,1,We could find aliens any day now—SETI scientists discuss extraterrestrial life hunting
457,2015-07,1980,1,Engineers test fly printed aircraft off warship
458,2015-07,1981,1,"Hoverbike could be a reality in three to five years, creators say"
459,2015-07,1995,1,"Virtual reality technology expands to a blitz of uses, including football"
460,2015-07,1998,1,No sci-fi joke: 'killer robots' strike fear into tech leaders
461,2015-07,2002,2,Global roadmap for better understanding space weather released<br>The future of data science looks spectacular
462,2015-07,2006,1,Researchers announce another 5G breakthrough
463,2015-07,2008,1,Model shows how surge in wealth inequality may be reversed
464,2015-07,2009,1,"Hoverbike could be a reality in three to five years, creators say"
465,2015-07,2010,2,"We could find aliens any day now—SETI scientists discuss extraterrestrial life hunting<br>Virtual reality technology expands to a blitz of uses, including football"
466,2015-07,2011,1,Engineers test fly printed aircraft off warship
467,2015-07,2012,2,"No sci-fi joke: 'killer robots' strike fear into tech leaders<br>Toyota robot can pick up after people, help the sick"
468,2015-07,2013,1,Robotic insect mimics nature's extreme moves
469,2015-07,2014,4,"Autonomous taxis would deliver significant environmental and economic benefits, new study shows<br>Omnidirectional free space wireless charging developed<br>Virtual reality technology expands to a blitz of uses, including football<br>Robots under test for oil and gas rig duty"
470,2015-07,2015,20,"New method of quantum entanglement vastly increases how much information can be carried in a photon<br>Autonomous taxis would deliver significant environmental and economic benefits, new study shows<br>Engineers give invisibility cloaks a slimmer design<br>Omnidirectional free space wireless charging developed<br>We could find aliens any day now—SETI scientists discuss extraterrestrial life hunting<br>Virtual reality technology expands to a blitz of uses, including football<br>Robots under test for oil and gas rig duty<br>Density-near-zero acoustical metamaterial made in China<br>After 85-year search, massless particle with promise for next-generation electronics found<br>Hoverbike could be a reality in three to five years, creators say<br>University of Michigan opens test ""city"" for autonomous cars<br>The future of data science looks spectacular<br>Study of human body fluid shifts aboard space station advances journey to Mars<br>Changing the color of light<br>Superfast fluorescence sets new speed record<br>No sci-fi joke: 'killer robots' strike fear into tech leaders<br>Toyota robot can pick up after people, help the sick<br>Researchers announce another 5G breakthrough<br>Cheetah robot lands the running jump (w/ Video)<br>Robotic insect mimics nature's extreme moves"
471,2015-07,2016,2,"Virtual reality technology expands to a blitz of uses, including football<br>Toyota robot can pick up after people, help the sick"
472,2015-07,2018,2,Robots under test for oil and gas rig duty<br>New project aims to establish a human colony on Mars
473,2015-07,2020,1,New project aims to establish a human colony on Mars
474,2015-07,2022,1,Irregular heartbeat of the Sun driven by double dynamo
475,2015-07,2030,1,"Autonomous taxis would deliver significant environmental and economic benefits, new study shows"
476,2015-07,2035,2,We could find aliens any day now—SETI scientists discuss extraterrestrial life hunting<br>What if all cars were electric?
477,2015-07,2045,1,We could find aliens any day now—SETI scientists discuss extraterrestrial life hunting
478,2015-07,2060,1,"Toyota robot can pick up after people, help the sick"
479,2015-07,2506,1,Could we make artificial gravity?
480,2015-08,100,1,One year and counting: Mars isolation experiment begins
481,2015-08,1291,1,How to preserve fleeting digital information with DNA for future generations
482,2015-08,1995,1,Scientists discover atomic-resolution details of brain signaling
483,2015-08,1998,1,"US distributed solar prices fell 10 to 20 percent in 2014, with trends continuing into 2015"
484,2015-08,1999,1,Opinion: The threat of robots and automation taking jobs is being overstated
485,2015-08,2001,1,Quantum computer that 'computes without running' sets efficiency record
486,2015-08,2011,1,One year and counting: Mars isolation experiment begins
487,2015-08,2012,1,"US distributed solar prices fell 10 to 20 percent in 2014, with trends continuing into 2015"
488,2015-08,2013,2,Team claims to have created a sample of stanene<br>Scientists discover atomic-resolution details of brain signaling
489,2015-08,2014,3,"US distributed solar prices fell 10 to 20 percent in 2014, with trends continuing into 2015<br>How to preserve fleeting digital information with DNA for future generations<br>Quantum dot solar windows go non-toxic, colorless, with record efficiency"
490,2015-08,2015,10,"Like paper, graphene twists and folds into nanoscale machines<br>From cameras to computers, new material could change how we work and play<br>Graphene nanoribbon finding could lead to faster, more efficient electronics<br>New design could finally help to bring fusion power closer to reality<br>US distributed solar prices fell 10 to 20 percent in 2014, with trends continuing into 2015<br>Glass paint could keep metal roofs and other structures cool even on sunny days<br>How to preserve fleeting digital information with DNA for future generations<br>Scientists discover atomic-resolution details of brain signaling<br>One year and counting: Mars isolation experiment begins<br>Opinion: The threat of robots and automation taking jobs is being overstated"
491,2015-08,2016,1,One year and counting: Mars isolation experiment begins
492,2015-09,1080,1,Layering technique allows for creating graphene fiber that maintains conductivity and strength
493,2015-09,1915,1,Fossil fuel divestment movement reaches $2.6 trillion
494,2015-09,1987,1,Scientists discover new system for human genome editing
495,2015-09,1994,1,Organic 'computers' made of DNA could process data inside our bodies
496,2015-09,2000,1,Organic 'computers' made of DNA could process data inside our bodies
497,2015-09,2001,1,New synthesis method imitates the way molecules were formed at the dawn of life on Earth
498,2015-09,2003,1,Frankenvirus emerges from Siberia's frozen wasteland
499,2015-09,2004,2,"Frankenvirus emerges from Siberia's frozen wasteland<br>Plastic-eating worms may offer solution to mounting waste, researchers discover"
500,2015-09,2005,1,PolyU develops novel efficient and low-cost semitransparent perovskite solar cells with graphene electrodes
